holder,dataset_id,METRICA,PRINCIPIO,punteggio,PROVINCIA,CATEGORIA
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,F3,F,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,F4,F,0.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,G_F,F,78.67645
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,A1,A,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,A1_1,A,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,A1_2,A,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,A2,A,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,G_A,A,100.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,I1,I,93.75
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,I2,I,33.33331603088379
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,I3,I,30.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,G_I,I,50.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,R1_1,R,25.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,R1_2,R,0.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,R1_3,R,0.0
Comune di Bitonto,218d9047-2673-43fd-a2f4-4092c94494e9,G_R,R,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,F1,F,0.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,F2,F,48.58284950256348
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,F3,F,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,F4,F,0.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,G_F,F,78.67645
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,A1,A,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,A1_1,A,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,A1_2,A,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,A2,A,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,G_A,A,100.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,I1,I,93.75
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,I2,I,33.33331603088379
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,I3,I,30.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,G_I,I,50.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,R1_1,R,25.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,R1_2,R,0.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,R1_3,R,0.0
Comune di Bitonto,366b403d-7939-468b-bd3e-bf0f98f9235d,G_R,R,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,F1,F,0.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,F2,F,48.58284950256348
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,F3,F,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,F4,F,0.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,G_F,F,78.67645
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,A1,A,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,A1_1,A,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,A1_2,A,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,A2,A,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,G_A,A,100.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,I1,I,93.75
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,I2,I,33.33331603088379
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,I3,I,30.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,G_I,I,50.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,R1_1,R,25.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,R1_2,R,0.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,R1_3,R,0.0
Comune di Bitonto,5386d3ca-3a89-473a-83b4-387e09644779,G_R,R,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,F1,F,0.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,F2,F,48.58284950256348
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,F3,F,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,F4,F,0.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,G_F,F,78.67645
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,A1,A,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,A1_1,A,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,A1_2,A,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,A2,A,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,G_A,A,100.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,I1,I,93.75
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,I2,I,33.33331603088379
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,I3,I,30.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,G_I,I,50.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,R1_1,R,25.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,R1_2,R,0.0
Comune di Bitonto,5ccd9221-bb48-47f7-b7b5-d30bde89a2dc,R1_3,R,0.0
